id,Name_Eng,Name_Tel,Arohana_Swaras,Avarohana_Swaras,Arohana_Order,Avarohana_Order,category,melam_num,janaka_melam,janaka,chakra,alternates,one_swara_diff,src,is_vakra
49,veeragan,వీరగన్,"['s', 'r2', 'g2', 'm2', 'd1', 's.']","['s.', 'd1', 'm2', 'g2', 'r2', 's']",S|R2|G2|M2|D1|S',S'|D1|M2|G2|R2|S,ఔడవ,,56,షణ్ముఖప్రియ,,[],"['యజ్హ్వల్లోన్', 'వసుగర్భ', 'వరన్', 'వామసుకిరిని', 'ఉగ్రాన్']",Ragapravaham by Dhandapani MN& D Pattammal,0
50,shuddhalalita,శుద్దలలిత,"['s', 'r1', 'g3', 'm1', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'm1', 'g3', 'r1', 's']",S|R1|G3|M1|D2|N3|S',S'|N3|D2|M1|G3|R1|S,షాడవ,,17,సూర్యకాంతం,,[],"['యోగసురభి', 'యోగసౌరభం', 'వ్యాజకురింజి', 'వినోదిని', 'వనజంబరి']",Ragapravaham by Dhandapani MN& D Pattammal,0
51,bhadratodi,భద్రతోడి,"['s', 'r1', 'g2', 'm1', 'd1', 's.']","['s.', 'n2', 'd1', 'p', 'g2', 's']",S|R1|G2|M1|D1|S',S'|N2|D1|P|G2|S,ఔడవ,,8,హనుమతోడి,,[],"[' యోగవతీ', 'యోగగిరి', 'యోగబోధిని', 'యోగబోధన', 'యోగభైరవి']",Ragapravaham by Dhandapani MN& D Pattammal,0
52,dhavlikagaula,ధౌళికగౌళ,"['s', 'r2', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'n2', 'p', 'g2', 'm1', 'r2', 's']",S|R2|P|D1|N2|S',S'|N2|D1|N2|P|G2|M1|R2|S,ఔడవ-సంపూర్ణ,,20,నరభైరవి,,[],"['వీరవరాలి', 'విపులనంద', 'విప్రమతి', 'విప్రాధన్యాసి', 'విమలమోహన్']",Ragapravaham by Dhandapani MN& D Pattammal,2
53,jayavani,జయవాణి,"['s', 'g2', 'r2', 'g2', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'g2', 'r2', 's']",S|G2|R2|G2|M1|P|N2|S',S'|N2|D1|P|G2|R2|S,షాడవ,,20,నరభైరవి,,[],"['వీరవరాలి', 'విపులనంద', 'విప్రమతి', 'విప్రాధన్యాసి', 'విమలమోహన్']",Ragapravaham by Dhandapani MN& D Pattammal,1
54,vikramavarali,విక్రమవరాళి,"['s', 'g2', 'm2', 'p', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm2', 'g2', 'r1', 's']",S|G2|M2|P|N3|S',S'|N3|D2|P|M2|G2|R1|S,ఔడవ-సంపూర్ణ,,47,సువర్ణాంగి,,[],"['యద్దేవిక', 'వీరవాహినీ', 'విరలీల', 'విన్నవర్తిలకం', 'విజయశ్రీకాంతి']",Ragapravaham by Dhandapani MN& D Pattammal,0
55,shuddhagandharvam,శుధ్ధగాంధర్వం,"['s', 'r1', 'g3', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'd2', 'p', 'm1', 'r1', 's']",S|R1|G3|M1|P|D2|N3|S',S'|D2|P|M1|R1|S,సంపూర్ణ-ఔడవ,,17,సూర్యకాంతం,,[],"['షహానా', 'శుద్దహలలిత', 'యుధిష్ఠిర', 'యోగసురభి', 'యోగసౌరభం']",Ragapravaham by Dhandapani MN& D Pattammal,0
56,charukuntala,చారుకుంతల,"['s', 'r2', 'g3', 'm1', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'm1', 'g3', 'r2', 's']",S|R2|G3|M1|D1|N2|S',S'|N2|D1|M1|G3|R2|S,షాడవ,,26,చారుకేశి,,[],"['వీరాదివసంతం', 'విప్రమతి', ' వినసుఖం', 'వారియర్', 'వరవర్ణని']",Ragapravaham by Dhandapani MN& D Pattammal,0
57,shubhavarali,శుభవరాళి,"['s', 'm2', 'r1', 'g2', 'm2', 'p', 'd1', 'n3']","['d1', 'p', 'm2', 'g2', 'r1', 's', 'n3', 's']",S|M2|R1|G2|M2|P|D1|N3,D1|P|M2|G2|R1|S|N3|S,సంపూర్ణ,,45,శుభపంతువరాళి,,[],"['విరలీల', 'వళవన్', 'తిత్తానం', 'తిషయం', 'తింకల్']",Ragapravaham by Dhandapani MN& D Pattammal,3
58,ganavasantham,గానవసంతం,"['s', 'r2', 'g2', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 'r2', 's']",S|R2|G2|M1|P|N2|D2|S',S'|N2|D2|P|M1|G2|R2|S,సంపూర్ణ,,22,ఖరహరప్రియ,,[],"['సుపోసిని', 'యువరాత్నికం', 'యువరత్న', ' యోగవతీ', 'యోగబోధిని']",Ragapravaham by Dhandapani MN& D Pattammal,1
